year,nature_of_employment,industry1,industry2,industry3,total_paid_hours,standard_hours,overtime_paid_hours
1994,part-time,services,hotels and restaurants,restaurants,22.2,21.9,0.3
1994,full-time,services,"transport, storage and communications","transport, storage and communications",47.1,43.2,3.9
1994,part-time,services,"transport, storage and communications","transport, storage and communications",25,24.5,0.5
1994,full-time,services,financial intermediation,financial institutions,44,42.6,1.4
1994,part-time,services,financial intermediation,financial institutions,21.3,21.1,0.2
1994,full-time,services,financial intermediation,insurance and pension funding,40.6,39.7,1
1994,part-time,services,financial intermediation,insurance and pension funding,17.3,17.3,-
1994,full-time,services,business and real estate services,business and real estate services,45.1,42.5,2.6
1994,part-time,services,business and real estate services,business and real estate services,25.2,24.8,0.5
1994,full-time,services,"community, social and personal services","community, social and personal services",42.5,41.4,1.2
1994,part-time,services,"community, social and personal services","community, social and personal services",21.2,21,0.2
1994,full-time,others,others,others,45.8,44.3,1.5
1994,part-time,others,others,others,31.1,31,-
1995,full-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.3,43.5,3.8
1995,part-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",20.6,20.2,0.5
1995,full-time,manufacturing,textile and wearing apparel,textile and wearing apparel,49.6,44,5.6
1995,part-time,manufacturing,textile and wearing apparel,textile and wearing apparel,20.9,20.8,0.1
1995,full-time,manufacturing,paper products and publishing,paper products and publishing,49.8,43,6.8
1995,part-time,manufacturing,paper products and publishing,paper products and publishing,23.8,23.5,0.4
1995,full-time,manufacturing,petroleum and chemical products,petroleum and chemical products,48.7,43,5.7
1995,part-time,manufacturing,petroleum and chemical products,petroleum and chemical products,26.1,24.6,1.5
1995,full-time,manufacturing,rubber and plastic products,rubber and plastic products,51,43.7,7.3
1995,part-time,manufacturing,rubber and plastic products,rubber and plastic products,24.7,23.3,1.3
1995,full-time,manufacturing,fabricated metal products,fabricated metal products,51.8,43.5,8.3
1995,part-time,manufacturing,fabricated metal products,fabricated metal products,22.5,21.2,1.3
1995,full-time,manufacturing,machinery and equipment,machinery and equipment,51.2,43.6,7.6
1995,part-time,manufacturing,machinery and equipment,machinery and equipment,22,21.6,0.4
1995,full-time,manufacturing,electrical products,electrical products,50.2,43.4,6.8
1995,part-time,manufacturing,electrical products,electrical products,27.3,25.5,1.8
1995,full-time,manufacturing,electronic products,electronic products,48.1,42.2,5.9
1995,part-time,manufacturing,electronic products,electronic products,23.4,22.3,1.1
1995,full-time,manufacturing,medical and precision instruments,medical and precision instruments,48.5,43,5.5
1995,part-time,manufacturing,medical and precision instruments,medical and precision instruments,21.4,20.3,1.1
1995,full-time,manufacturing,transport equipment,transport equipment,53.3,43.9,9.3
1995,part-time,manufacturing,transport equipment,transport equipment,19.6,19.6,0.1
1995,full-time,manufacturing,other manufacturing industries,other manufacturing industries,51.2,43.9,7.3
1995,part-time,manufacturing,other manufacturing industries,other manufacturing industries,22.2,22,0.2
1995,full-time,construction,construction,construction,51.5,45,6.5
1995,part-time,construction,construction,construction,20.3,20,0.3
1995,full-time,services,wholesale and retail trade,wholesale trade,44.1,42.2,1.9
1995,part-time,services,wholesale and retail trade,wholesale trade,25.3,24.9,0.4
1995,full-time,services,wholesale and retail trade,retail trade,46,43.3,2.7
